scenario,action,iterations,failures,min_ms,mean_ms,stdev_ms,q1_ms,median_ms,q3_ms,p80_ms,p95_ms,max_ms,total_wall_ms
normal,List_Pop,100,0,0.0836,4.9397,5.7805,2.5963,3.6783,5.1364,5.6218,11.1845,47.1242,16317.2
normal,List_PopMultiple,100,0,0.0883,4.2850,3.2007,2.5869,3.6782,5.2245,5.4536,7.5642,22.4202,15894.9
normal,List_SplitAt,100,0,0.0862,4.5114,4.0512,2.5560,3.5076,5.0455,5.4582,11.4381,23.5115,15913.0
normal,List_PopByCondition,100,0,0.0898,3.9211,2.6448,2.4141,3.7621,4.7322,5.0822,6.8092,20.1368,16807.2
normal,List_PopMultipleByCondition,100,0,0.1873,10.6109,5.9016,6.9934,9.5683,13.2928,14.0624,21.0730,38.6159,17420.2
normal,List_PopByConditions,100,0,0.0841,3.5764,1.9452,2.4855,3.2569,4.4534,4.7491,6.4693,14.8794,16783.1
normal,List_PopMultipleByConditions,100,0,0.2453,13.2244,7.1273,9.4097,12.5981,16.4002,18.0224,26.2777,39.3943,17542.2
normal,List_Partition,100,0,0.2471,11.1389,6.9786,6.6433,10.0575,13.9879,14.9137,24.9830,44.9310,17293.9
normal,List_PartitionByConditions,100,0,0.2282,12.1874,6.3054,8.0120,11.6989,16.2057,18.2206,23.4319,29.4047,17555.8
normal,List_Zip,100,0,0.2272,9.8045,6.1518,5.5490,8.6824,12.5263,13.2201,21.8933,32.2774,17236.1
normal,List_GroupBy,100,0,0.1753,11.4829,6.9509,7.6212,10.4053,13.3018,14.9874,27.7508,35.6781,17211.2
normal,List_ZipGroupBy,100,0,0.3822,21.8064,11.3120,14.9716,21.2937,27.1102,28.8531,42.5481,69.8424,18664.2
normal,List_Difference,100,0,0.3025,16.3708,8.7944,10.9595,14.8765,20.9491,22.2280,31.0916,44.6322,17978.8
normal,List_Intersect,100,0,0.4071,15.1215,7.9919,10.1442,13.7378,19.7005,21.9511,29.0478,41.0314,18023.4
normal,List_Union,100,0,0.3589,18.9474,10.3443,11.7033,17.6142,25.5721,26.6620,35.2147,61.4893,18394.3
normal,List_GroupByMultiple,100,0,0.2400,12.1265,7.3306,7.4423,10.9816,15.1582,15.8734,26.7940,37.9188,17389.7
normal,List_ZipGroupByMultiple,100,0,0.4602,27.2930,12.8181,19.4800,26.0703,33.0162,35.4866,52.2548,69.4502,19168.7
normal,List_Chunk,100,0,0.0878,4.0537,2.0646,2.5935,4.0048,5.1455,5.3643,7.5904,10.7202,16498.7
normal,List_DistinctBy,100,0,0.3290,6.0285,3.3202,3.6958,5.5203,7.7016,8.3356,12.3239,15.4887,16736.6
normal,List_Slice,100,0,0.0676,2.9974,1.4386,1.9908,2.7996,3.8968,4.2038,5.5890,6.6977,16278.6
normal,List_Shuffle,100,0,0.0930,4.5046,2.1986,2.9106,4.2191,5.8287,6.3898,8.5848,10.4050,16438.2
normal,List_UpdateAt,100,0,0.0875,3.6058,1.6698,2.5342,3.4226,4.7363,5.1101,6.6063,7.3001,16310.2
normal,List_Reverse,100,0,0.0858,4.0492,2.3653,2.5812,3.6566,5.2320,5.4168,6.8584,15.4263,16314.5
normal,List_Flatten,100,0,0.0941,3.9600,2.7060,2.5069,3.6246,4.6618,5.1070,6.7716,17.7274,16362.6
normal,List_Sample,100,0,0.0503,3.3823,3.8160,1.5480,2.3108,3.4266,3.7272,12.5299,21.7441,16436.8
normal,List_ReplaceWhere,100,0,0.3219,11.8699,6.1312,8.1740,11.1288,14.7835,15.7202,21.3319,33.8453,17173.1
normal,List_UpdateMultipleAt,100,0,0.1035,4.1001,2.2693,2.7415,3.8814,5.2925,5.9094,6.9613,18.0536,16349.7
normal,List_MinBy,100,0,0.1418,6.7842,3.9104,3.9570,5.9773,8.6621,9.5861,15.3531,17.4588,16756.5
normal,List_MaxBy,100,0,0.1388,7.3715,3.4704,4.8088,7.2783,9.7278,10.2435,12.1921,16.5623,16759.9
normal,List_Aggregate,100,0,0.1383,7.5866,3.6852,4.6018,7.5547,10.4305,11.0124,13.0878,15.5231,16911.0
normal,List_ZipMany,100,0,0.4318,15.0705,7.8532,9.5488,13.7027,20.0684,21.0073,28.8614,41.9807,17741.1
normal,List_ZipManyGroupBy,100,0,0.5636,35.8023,17.8436,23.6942,34.0160,45.4480,51.5132,66.6391,86.8633,20259.5
normal,List_ZipManyGroupByMultiple,100,0,0.7570,42.1832,20.2729,28.4127,41.0350,53.8454,56.7651,76.5894,106.4451,20914.7
worst,List_Pop,100,0,6.4169,7.3482,1.3929,6.7617,6.9639,7.3677,7.5221,9.3348,18.3450,50783.8
worst,List_PopMultiple,100,0,7.2569,8.5694,2.9188,7.5709,7.8456,8.3498,8.5065,11.4887,28.3304,50032.5
worst,List_SplitAt,100,0,6.3770,8.8217,4.7364,6.7087,7.0294,7.7691,8.0193,21.9446,27.7251,50267.1
worst,List_PopByCondition,100,0,6.2072,7.5567,2.9663,6.5709,6.8521,7.2523,7.5190,9.3062,26.6011,50338.1
worst,List_PopMultipleByCondition,100,0,14.8087,18.1736,3.2878,16.4047,17.4812,19.0915,19.4783,22.4984,43.2930,50928.8
worst,List_PopByConditions,100,0,6.2781,7.6005,3.0030,6.5673,6.8818,7.4192,7.5088,8.7078,25.5508,49910.2
worst,List_PopMultipleByConditions,100,0,18.5891,22.5504,3.6970,20.6483,21.5519,23.3445,24.1085,27.4500,48.9246,51656.4
