scenario,action,iterations,failures,min_ms,mean_ms,stdev_ms,q1_ms,median_ms,q3_ms,p80_ms,p95_ms,max_ms,total_wall_ms
normal,List_Pop,100,0,0.0861,4.8884,5.8433,2.5360,3.6697,4.9826,5.1362,10.2957,46.2605,16608.3
normal,List_PopMultiple,100,0,0.0847,3.8864,1.9814,2.4310,3.6823,4.9818,5.6321,7.1234,11.4636,16179.8
normal,List_SplitAt,100,0,0.0884,4.2695,3.8066,2.3880,3.4666,5.1847,5.3228,7.6835,30.2021,15798.8
normal,List_PopByCondition,100,0,0.0898,3.3263,1.4885,2.3613,3.1965,4.4085,4.5884,5.8571,6.3538,15918.6
normal,List_PopMultipleByCondition,100,0,0.2187,12.8907,6.9266,8.3430,11.8612,17.0773,18.0566,25.0373,35.1686,16798.3
normal,List_PopByConditions,100,0,0.0914,3.4860,1.5343,2.3725,3.3988,4.6067,4.8301,5.9268,6.6198,16186.1
normal,List_PopMultipleByConditions,100,0,0.2921,14.0442,7.3565,9.7239,13.5518,17.9342,19.7245,25.0853,40.8169,17305.1
normal,List_Partition,100,0,0.2309,12.4533,6.3522,7.5908,11.7054,16.8508,18.0288,23.1809,26.0598,16965.0
normal,List_PartitionByConditions,100,0,0.3479,13.7935,6.8206,9.3460,13.8478,17.6075,18.4949,24.9956,39.8935,17286.9
normal,List_Zip,100,0,0.2013,8.6864,3.8588,6.0896,8.3112,11.1256,12.0802,14.9198,19.8369,16630.7
normal,List_GroupBy,100,0,0.2646,11.9199,6.2784,7.2439,10.9804,16.5653,18.1686,22.9679,27.3896,16446.4
normal,List_ZipGroupBy,100,0,0.5404,26.8625,13.2639,16.3330,28.5229,35.7398,37.5036,46.5142,60.0597,18140.1
normal,List_Difference,100,0,0.3315,16.3976,8.2801,10.9297,15.2066,22.1677,23.0326,31.2647,38.4077,16773.0
normal,List_Intersect,100,0,0.3208,16.2523,8.3224,10.2502,15.5726,21.2485,22.2904,29.9447,37.8202,17318.7
normal,List_Union,100,0,0.4282,23.2584,12.0781,13.9664,24.2356,32.1919,33.0995,42.2616,59.4886,18192.5
normal,List_GroupByMultiple,100,0,0.2911,14.2054,7.1921,8.6387,14.2140,18.5252,19.7670,26.1247,32.8776,16879.6
normal,List_ZipGroupByMultiple,100,0,0.5871,31.5731,15.7674,21.1728,30.4143,41.2239,43.4097,59.4123,72.3192,19213.2
normal,List_Chunk,100,0,0.0922,3.9779,2.3425,2.5909,3.6421,4.9127,5.2361,7.2567,18.0280,15945.2
normal,List_DistinctBy,100,0,0.1254,5.7177,3.1325,3.3226,5.1860,7.6396,8.2594,12.1841,14.3341,16371.1
normal,List_Slice,100,0,0.0682,2.9553,1.8482,1.9393,2.7671,3.7542,4.0830,5.0312,16.3750,15827.2
normal,List_Shuffle,100,0,0.0941,5.2534,4.5085,2.6710,4.0627,5.9303,6.3574,17.3463,21.6552,16069.9
normal,List_UpdateAt,100,0,0.1190,3.6421,2.1722,2.2969,3.3377,4.6749,4.9370,6.1973,15.2316,16105.0
normal,List_Reverse,100,0,0.0885,4.6831,4.0537,2.4714,3.7824,5.1932,5.4219,14.7834,24.9517,16354.8
