scenario,action,iterations,failures,min_ms,mean_ms,stdev_ms,q1_ms,median_ms,q3_ms,p80_ms,p95_ms,max_ms,total_wall_ms
normal,List_Pop,100,0,0.0820,4.6683,5.4304,2.5362,3.7843,4.9145,5.1314,7.3665,46.6117,16051.9
normal,List_PopMultiple,100,0,0.0864,4.2166,2.9881,2.4968,3.5152,5.2759,5.6919,7.5632,19.2262,15726.0
normal,List_SplitAt,100,0,0.0887,4.1885,3.3734,2.4631,3.7562,4.9665,5.1528,7.6753,24.9286,15548.2
normal,List_PopByCondition,100,0,0.0853,4.1060,3.8807,2.4345,3.2485,4.5561,4.8667,7.0545,26.1602,15563.9
normal,List_PopMultipleByCondition,100,0,0.2276,12.8803,5.8850,9.2650,13.1016,16.7896,17.5536,22.0082,29.2135,16581.2
normal,List_PopByConditions,100,0,0.0904,3.5518,2.2204,2.2857,3.2816,4.4313,4.8784,6.1842,19.4225,15772.3
normal,List_PopMultipleByConditions,100,0,0.2869,14.9813,7.5134,10.9025,14.6997,18.6281,20.0392,27.5236,51.4714,16701.2
normal,List_Partition,100,0,0.2268,12.9097,7.3368,7.9183,11.3574,17.7611,18.4968,24.5953,43.7503,16680.5
normal,List_PartitionByConditions,100,0,0.2798,13.9317,8.0915,8.1336,12.0618,17.4772,19.3557,29.2858,43.0880,16701.6
normal,List_Zip,100,0,0.2463,8.6212,4.0258,5.8742,8.1029,11.4086,12.0616,15.0354,20.2471,16132.8
normal,List_GroupBy,100,0,0.2351,12.8772,7.0089,7.4943,12.8100,16.9372,17.5231,25.2406,41.9329,16454.9
normal,List_ZipGroupBy,100,0,0.5821,27.3579,13.2786,17.6987,28.9164,35.8322,37.7269,47.2405,69.9604,18166.9
normal,List_Difference,100,0,0.3082,14.3714,7.8730,8.6922,13.0292,20.7040,21.5383,29.4204,30.3414,16797.8
normal,List_Intersect,100,0,0.2872,14.2935,7.8441,9.2582,12.8436,17.9071,21.0615,29.8340,34.7535,16524.6
normal,List_Union,100,0,0.3357,16.2930,7.8256,11.1158,16.2859,22.3721,23.5632,28.7691,36.9308,16841.7
normal,List_GroupByMultiple,100,0,0.3113,15.1327,8.2885,9.5019,14.5770,19.2324,21.2859,31.1964,41.3086,16772.8
normal,List_ZipGroupByMultiple,100,0,0.6615,32.1244,14.9665,21.3942,31.6769,42.3946,43.0584,54.4020,71.7169,18758.6
normal,List_Chunk,100,0,0.0855,3.7380,1.9522,2.4524,3.3956,4.7106,5.1047,7.3271,9.8833,15655.6
normal,List_DistinctBy,100,0,0.1356,6.0724,3.7855,3.3322,5.4785,8.3348,8.8822,11.4335,20.5790,15799.7
normal,List_Slice,100,0,0.0655,3.0580,2.1924,2.0160,2.7851,3.7604,3.9020,4.9808,16.1147,15417.0
normal,List_Shuffle,100,0,0.0943,4.1241,2.4617,2.7304,3.7821,5.2748,5.5405,7.6047,18.9754,15541.3
normal,List_UpdateAt,100,0,0.0996,3.3768,1.4644,2.3818,3.2812,4.3773,4.5263,5.6555,7.0038,15575.1
normal,List_Reverse,100,0,0.0833,3.7038,2.2672,2.3948,3.4859,4.5525,4.9164,6.5087,18.9566,15516.6
normal,List_Flatten,100,0,0.0928,3.6830,2.0347,2.3582,3.4852,4.6791,5.2011,6.2935,12.8781,15563.5
normal,List_Sample,100,0,0.0510,2.2285,1.1498,1.3725,2.0983,2.8372,2.9269,4.1378,5.9004,15440.8
normal,List_ReplaceWhere,100,0,0.2350,10.3864,5.0777,6.9341,10.3921,13.5884,14.3099,17.5954,29.6908,16132.4
normal,List_UpdateMultipleAt,100,0,0.0983,3.8395,2.0138,2.6116,3.5948,4.7766,5.0721,6.5803,16.1262,15637.3
normal,List_MinBy,100,0,0.1355,7.4886,3.8870,4.7904,7.1165,9.7303,10.1780,14.9313,20.1251,16083.6
normal,List_MaxBy,100,0,0.2332,7.4094,3.8468,4.4731,7.2358,9.4022,10.5429,13.1735,21.1899,15832.3
normal,List_Aggregate,100,0,0.1414,7.5840,3.8588,5.1151,7.2909,10.1399,10.6757,14.1235,18.0132,16062.3
normal,List_ZipMany,100,0,0.5661,14.1358,7.0029,9.1472,13.4977,18.4723,19.1923,25.0921,37.8519,16976.3
normal,List_ZipManyGroupBy,100,0,0.7345,45.2507,20.8512,30.6217,46.9221,57.2402,59.8910,81.4438,97.8083,20028.6
normal,List_ZipManyGroupByMultiple,100,0,0.9867,49.9675,23.6521,34.2386,48.8692,61.3484,67.2879,82.3939,126.5032,20439.8
worst,List_Pop,100,0,6.0637,6.6316,0.5981,6.3735,6.4744,6.6088,6.6589,8.3654,9.2367,46985.3
worst,List_PopMultiple,100,0,7.0005,7.3477,0.2698,7.1645,7.3068,7.4272,7.4675,7.8924,8.4357,47034.5
worst,List_SplitAt,100,0,6.2579,9.0773,5.1561,6.4540,6.7702,8.0798,8.5676,22.6228,28.1005,47243.1
worst,List_PopByCondition,100,0,5.9898,7.1154,3.1300,6.2148,6.3974,6.7470,6.8880,7.7370,25.9999,46845.1
worst,List_PopMultipleByCondition,100,0,19.6600,26.2862,6.3888,23.1703,24.6391,27.1193,27.5605,36.8476,57.5565,48885.6
worst,List_PopByConditions,100,0,6.0066,6.6073,0.7241,6.2416,6.4205,6.7128,6.8068,7.6496,12.3503,47445.7
worst,List_PopMultipleByConditions,100,0,23.0755,29.0477,5.4594,25.7168,27.5136,30.3062,31.7300,39.0473,52.2717,49429.1
worst,List_Partition,100,0,19.8391,23.7882,3.2843,21.2013,23.5524,24.9874,25.3977,29.2244,44.1125,48574.5
worst,List_PartitionByConditions,100,0,22.8494,28.2373,5.2908,24.4107,26.9158,29.5249,30.3095,40.7711,50.7123,49133.9
worst,List_Zip,100,0,14.5793,18.8319,4.4108,16.9444,18.3062,18.8306,18.9586,28.6290,38.2948,48419.3
worst,List_GroupBy,100,0,21.8453,27.1441,4.5194,24.2499,26.1793,28.3286,28.8345,36.3221,51.6173,49604.8
worst,List_ZipGroupBy,100,0,48.2911,64.8622,9.1544,58.5349,65.2173,70.4489,72.3404,80.0005,93.2006,52909.2
worst,List_Difference,100,0,23.4124,30.1221,4.9672,26.5060,28.9374,31.1442,33.4174,40.2211,48.9871,50018.4
worst,List_Intersect,100,0,24.9441,31.5898,5.6479,27.9353,29.8210,34.2866,34.7916,44.4171,51.6511,50065.8
worst,List_Union,100,0,27.5204,33.7354,5.2512,30.3345,32.3884,34.8354,35.8824,44.6265,54.4324,49982.9
worst,List_GroupByMultiple,100,0,24.4445,29.1517,3.5083,26.8716,28.4505,30.1601,30.9646,36.5666,42.9567,49351.8
worst,List_ZipGroupByMultiple,100,0,58.6503,67.1104,7.1560,61.9068,65.0978,70.5102,72.0433,79.0880,104.3776,53491.4
worst,List_Chunk,100,0,6.1735,6.9555,1.3737,6.3742,6.4387,6.9525,7.3193,9.0980,17.7028,46959.6
worst,List_DistinctBy,100,0,8.2388,12.4981,3.2018,11.1700,12.0396,13.4401,13.8422,15.5899,37.1397,47381.6
worst,List_Slice,100,0,4.7471,6.5199,4.1915,4.9595,5.1319,5.3846,5.5824,15.3138,25.0704,46942.1
worst,List_Shuffle,100,0,7.2068,10.7122,6.2897,7.5303,7.7836,9.0283,10.6520,27.2699,30.5571,47541.7
